title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated
Snow Falling,Missing,3.37,English,"['Romance', 'Historical Fiction', 'Fiction', 'Adult', 'Historical', 'Chick Lit', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Tv']",Paperback,240,Adams Media,2017,"['466', '549', '757', '378', '129']",78,Missing,Missing,Jane Gloriana Villanueva,Missing
Go the F**k to Sleep,Missing,4.27,English,"['Humor', 'Fiction', 'Picture Books', 'Childrens', 'Comedy', 'Audiobook', 'Parenting', 'Poetry', 'Adult', 'Short Stories']",Kindle Edition,17,Akashic Books,2011,"['45520', '22520', '11530', '2977', '1767']",94,Missing,2011,Adam Mansbach,12832
Legacy,Keeper of the Lost Cities #8,4.53,English,"['Fantasy', 'Middle Grade', 'Young Adult', 'Adventure', 'Fiction', 'Romance', 'Childrens', 'Young Adult Fantasy', 'Audiobook', 'Urban Fantasy']",Kindle Edition,797,Aladdin,2019,"['5049', '1518', '594', '149', '86']",97,Missing,Missing,James Kerr,Missing
Cutting for Stone,Missing,4.29,English,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Historical']",Hardcover,541,Alfred A. Knopf,2009,"['175794', '106563', '38090', '10912', '5530']",95,"['Addis Ababa (Ethiopia)', 'Madras (India)', 'Kochi (India)', 'Aden (Yemen)', 'Djibouti', 'Asmara (Eritrea)', 'Khartoum (Sudan)', 'Nairobi (Kenya)', 'New York City, New York (United States)', 'Boston, Massachusetts (United States)', 'Rome (Italy)']",2010,Abraham Verghese,5286
The Book Thief,Missing,4.37,English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']",Hardcover,552,Alfred A. Knopf,2006,"['1048230', '524674', '186297', '48864', '26211']",96,"['Molching (Germany)', 'Germany']",2010,Markus Zusak,25974
Wonder,Wonder #1,4.44,English,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",Hardcover,315,Alfred A. Knopf,2012,"['441112', '202834', '65871', '15235', '8434']",97,"['Upper Manhattan, New York (United States)', 'New York City, New York (United States)', 'United States of America', 'New York State (United States)']",2012,R. J. Palacio,26081
The Girl Who Drank the Moon,Missing,4.1,English,"['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Childrens', 'Magic', 'Audiobook', 'Dragons', 'Witches', 'Juvenile']",Hardcover,388,Algonquin Young Readers,2016,"['22612', '19543', '8701', '2388', '1157']",93,Missing,Missing,Kelly Barnhill,Missing
The Help,Missing,4.47,English,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",Hardcover,451,Amy Einhorn Books/G.P. Putnam's Sons,2009,"['1300564', '636115', '176679', '34643', '16010']",98,"['Jackson, Mississippi (United States)', 'Jackson, Mississippi (United States)', 'Mississippi (United States)']",2010,Kathryn Stockett,14772
The Handmaid's Tale,The Handmaid's Tale #1,4.11,English,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",Paperback,314,Anchor Books,1998,"['616810', '517007', '227994', '64441', '32993']",93,"['Cambridge, Massachusetts (United States)', 'Republic of Gilead']",2017,Margaret Atwood,37046
Pillow Thoughts,Pillow Thoughts #1,3.83,English,"['Poetry', 'LGBT', 'Nonfiction', 'Romance', 'Contemporary', 'Adult', 'Audiobook', 'Love', 'Mental Health', 'Self Help']",Paperback,272,Andrews McMeel Publishing,2017,"['5170', '4132', '3370', '1278', '561']",87,Missing,Missing,Courtney Peppernell,Missing
The Sun and Her Flowers,Missing,4.16,English,"['Poetry', 'Feminism', 'Nonfiction', 'Adult', 'Contemporary', 'Romance', 'Mental Health', 'Canada', 'Womens', 'Love']",Paperback,256,Andrews McMeel Publishing,2017,"['68045', '42037', '21739', '6642', '3598']",93,Missing,2017,Rupi Kaur,8177
Against All Odds,Against #1,3.92,English,"['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Adult', 'Marriage', 'Dark', 'Drama', 'Love', 'Erotica']",Kindle Edition,323,Angie McKeon,2014,"['1010', '905', '486', '181', '130']",89,Missing,Missing,Craig Challen,Missing
Fantastic Beasts and Where to Find Them,Hogwarts Library,3.98,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', 'Short Stories', 'Science Fiction Fantasy', 'Dragons']",Hardcover,128,Arthur A. Levine Books / Scholastic Inc.,2001,"['127539', '100157', '77221', '19657', '5520']",92,Missing,Missing,J. K. Rowling,Missing
Harry Potter and the Chamber of Secrets,Harry Potter #2,4.43,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Hardcover,341,Arthur A. Levine Books / Scholastic Inc.,1999,"['1608855', '748165', '302543', '52312', '13972']",98,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",Missing,J. K. Rowling,Missing
