"Year","Rank","Book_Title","Author","Rating","Num_Customers_Rated","Price"
2010,1,"The Girl Who Kicked the Hornet's Nest (Millennium Trilogy)","Stieg Larsson",4.7,8475,17.24
2010,2,"The Girl with the Dragon Tattoo (Millennium Series)","Stieg Larsson",4.4,11516,9.99
2010,3,"Decision Points","George W. Bush",4.6,2201,17.8
2010,4,"The Help","Kathryn Stockett",4.8,14772,14.97
2010,5,"The Girl Who Played with Fire (Millennium Series)","Stieg Larsson",4.7,7949,0.02
2010,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","Jeff Kinney",4.8,5312,9.52
2010,7,"StrengthsFinder 2.0","Tom Rath",4,5517,15.79
2010,8,"Mockingjay (The Hunger Games)","Suzanne Collins",4.5,28849,8.79
2010,9,"Women Food and God: An Unexpected Path to Almost Everything","Geneen Roth",4.3,1484,12.44
2010,10,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",4.5,10383,15.99
2010,11,"Autobiography of Mark Twain, Vol. 1","Mark Twain",4.2,526,28.05
2010,12,"The Big Short: Inside the Doomsday Machine","Michael Lewis",4.7,3943,18.75
2010,13,"Food Rules: An Eater's Manual","Michael Pollan",4.5,1760,0.35
2010,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand",4.8,30700,20.98
2010,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","Charlaine Harris",4.4,2214,12.59
2010,16,"Sh*t My Dad Says","Justin Halpern",4.7,1397,0.99
2010,17,"Crazy Love: Overwhelmed by a Relentless God","Francis Chan",4.7,1664,14.98
2010,18,"The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga)","Stephenie Meyer",4.7,3291,18.79
2010,19,"Life","Keith Richards",4.5,3153,20.49
2010,20,"Cutting for Stone","Abraham Verghese",4.6,5286,7.59
2010,21,"The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race","Jon Stewart",4.5,483,16.28
2010,22,"The Official SAT Study Guide","The College Board",4.4,1323,0.59
2010,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","John Heilemann",4.4,1272,12.79
2010,24,"The Immortal Life of Henrietta Lacks","Rebecca Skloot",4.7,11370,2.06
2010,25,"The Lost Hero (Heroes of Olympus, Book 1)","Rick Riordan",4.8,5636,17.97
