title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price,,,,,,,
12 Rules for Life: An Antidote to Chaos,Missing,3.94,English,"['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Religion', 'Unfinished', 'Science', 'Politics']",Hardcover,409,Random House Canada,1/23/2018,['Goodreads Choice Award Nominee for Nonfiction (2018)'],102470,"['42381', '29881', '17108', '7652', '5448']",87,Missing,2018,Jordan B. Peterson,27211,12.36,,,,,,,
1984,Missing,4.19,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",Kindle Edition,237,Houghton Mifflin Harcourt,9/3/2013,"['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']",3140442,"['1474277', '1025880', '453693', '121946', '64646']",94,"['London, England', 'England', 'United Kingdom']",Missing,George Orwell,Missing,Missing,,,,,,,
21 Lessons for the 21st Century,Missing,4.16,English,"['Nonfiction', 'History', 'Philosophy', 'Science', 'Politics', 'Audiobook', 'Psychology', 'Sociology', 'Society', 'Technology']",Hardcover,372,Random House,9/4/2018,['Goodreads Choice Award Nominee for Nonfiction (2018)'],88101,"['37935', '32513', '13226', '3084', '1343']",95,Missing,Missing,Yuval Noah Harari,Missing,Missing,,,,,,,
A Gentleman in Moscow,Missing,4.34,English,"['Historical Fiction', 'Fiction', 'Russia', 'Historical', 'Audiobook', 'Book Club', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Adult']",Paperback,462,Penguin Books,3/26/2019,"['Kirkus Prize Nominee for Fiction (2016)', 'Goodreads Choice Award Nominee for Historical Fiction (2016)', 'Book of the Month Book of the Year Award Nominee (2016)', 'International Dublin Literary Award Nominee (2018)']",293330,"['161425', '87671', '31051', '8990', '4193']",96,"['Hotel Metropol, Moscow (Russian Federation)', 'Moscow (Russian Federation)']",Missing,Amor Towles,Missing,Missing,,,,,,,
"A Higher Loyalty: Truth, Lies, and Leadership",Missing,4.1,English,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'History', 'Audiobook', 'Leadership', 'Autobiography', 'Biography Memoir', 'American History']",Hardcover,290,Flatiron Books,4/17/2018,['Goodreads Choice Award Nominee for Memoir & Autobiography (2018)'],43575,"['17424', '17058', '6359', '1573', '1161']",94,"['White House, Washington, D.C. (United States)', 'United States of America']",2018,James Comey,7343,10.29,,,,,,,
A Little Life,Missing,4.31,English,"['Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Adult', 'Novels', 'Adult Fiction', 'Queer', 'Audiobook', 'Literature']",Hardcover,720,Doubleday,3/10/2015,"['Booker Prize Nominee (2015)', ""Women's Prize for Fiction Nominee (2016)"", 'Andrew Carnegie Medal Nominee for Fiction (Shortlist) (2016)', 'National Book Award Finalist for Fiction (2015)', 'Kirkus Prize for Fiction (2015)', 'Goodreads Choice Award Nominee for Fiction (2015)', 'Waterstones Book of the Year Nominee (2015)', 'Jarl Hellemann -palkinto (2017)', 'International Dublin Literary Award Nominee for Shortlist (2017)']",211560,"['122769', '52252', '21553', '9093', '5893']",93,"['New York City, New York (United States)', 'SoHo, New York City, New York (United States)']",Missing,Hanya Yanagihara,Missing,Missing,,,,,,,
A Long Walk to Water: Based on a True Story,Missing,4.28,English,"['Historical Fiction', 'Young Adult', 'Africa', 'Middle Grade', 'Fiction', 'Realistic Fiction', 'Historical', 'War', 'Childrens', 'Cultural']",Hardcover,128,Clarion Books,11/15/2010,"[""Jane Addams Children's Book Award for Older Children (2011)"", ""Flicker Tale Children's Book Award Nominee for Juvenile (2012)"", ""Pennsylvania Young Readers' Choice Award Nominee for Grades 6-8 (2013)"", ""Rebecca Caudill Young Readers' Book Award Nominee (2015)""]",52998,"['25474', '19066', '6656', '1296', '506']",97,"['Sudan', 'East Africa']",2015,Linda Sue Park,8426,4.79,,,,,,,
A Man Called Ove,Missing,4.36,English,"['Fiction', 'Contemporary', 'Audiobook', 'Humor', 'Book Club', 'Adult', 'Adult Fiction', 'Sweden', 'Novels', 'Realistic Fiction']",Hardcover,337,Atria Books,7/15/2014,0,568758,"['307546', '181844', '59433', '14057', '5878']",96,['Sweden'],Missing,Fredrik Backman,Missing,Missing,,,,,,,
A Tale of Magic...,A Tale of Magic #1,3.92,English,"['Fantasy', 'Middle Grade', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Fairy Tales', 'Adventure', 'Audiobook', 'Action']",Kindle Edition,448,"Little, Brown Books for Young Readers",10/1/2019,"[""Goodreads Choice Award Nominee for Middle Grade & Children's (2019)""]",8132,"['3816', '1912', '1013', '724', '667']",83,Missing,Missing,Chris Colfer,Missing,Missing,,,,,,,
A Visit from the Goon Squad,Missing,3.67,English,"['Fiction', 'Contemporary', 'Music', 'Short Stories', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Literature', 'Book Club', 'Adult']",Hardcover,288,Knopf,6/8/2010,"['Pulitzer Prize for Fiction (2011)', 'Orange Prize Nominee for Fiction Longlist (2011)', 'PEN/Faulkner Award for Fiction Nominee (2011)', 'Los Angeles Times Book Prize for Fiction (2010)', 'National Book Critics Circle Award for Fiction (2010)', 'Galaxy National Book Award for International Author of the Year (2011)', 'Goodreads Choice Award Nominee for Fiction (2010)', 'International Dublin Literary Award Nominee for Shortlist (2012)', 'The Rooster -- The Morning News Tournament of Books (2011)']",175124,"['43841', '61545', '44794', '17868', '7076']",86,"['San Francisco, California (United States)', 'New York City, New York (United States)', 'Crandale, New York (United States)', 'Naples (Italy)', 'Pompeii (Italy)', 'Los Angeles, California (United States)', 'Times Square, New York City, New York (United States)']",2011,Jennifer Egan,1929,12.68,,,,,,,
